capacity_id,datacenter_id,measurement_date,total_power_mw,contracted_power_mw,available_power_mw,utilization_pct,cooling_capacity_mw,ups_capacity_mw,generator_capacity_mw,fiber_connections,cross_connects
CAP001,DC001,2026-01-01,32.0,27.5,4.5,85.9,34.0,35.0,38.0,48,320
CAP002,DC001,2026-02-01,32.0,28.2,3.8,88.1,34.0,35.0,38.0,48,325
CAP003,DC001,2026-03-01,32.0,28.8,3.2,90.0,34.0,35.0,38.0,50,331
CAP004,DC002,2026-01-01,48.0,35.0,13.0,72.9,50.0,52.0,55.0,64,480
CAP005,DC002,2026-02-01,48.0,36.5,11.5,76.0,50.0,52.0,55.0,64,492
CAP006,DC002,2026-03-01,48.0,38.0,10.0,79.2,50.0,52.0,55.0,66,505
CAP007,DC003,2026-01-01,64.0,58.0,6.0,90.6,68.0,70.0,75.0,128,840
CAP008,DC003,2026-02-01,64.0,59.5,4.5,93.0,68.0,70.0,75.0,128,855
CAP009,DC003,2026-03-01,64.0,60.2,3.8,94.1,68.0,70.0,75.0,130,862
CAP010,DC005,2026-01-01,24.0,20.5,3.5,85.4,26.0,27.0,28.0,36,210
CAP011,DC005,2026-02-01,24.0,21.0,3.0,87.5,26.0,27.0,28.0,36,215
CAP012,DC005,2026-03-01,24.0,21.8,2.2,90.8,26.0,27.0,28.0,38,220
CAP013,DC007,2026-01-01,52.0,42.0,10.0,80.8,55.0,56.0,60.0,96,620
CAP014,DC007,2026-02-01,52.0,43.5,8.5,83.7,55.0,56.0,60.0,96,635
CAP015,DC007,2026-03-01,52.0,44.8,7.2,86.2,55.0,56.0,60.0,98,648
CAP016,DC008,2026-01-01,20.0,15.5,4.5,77.5,22.0,23.0,24.0,28,160
CAP017,DC008,2026-02-01,20.0,16.0,4.0,80.0,22.0,23.0,24.0,28,165
CAP018,DC008,2026-03-01,20.0,16.8,3.2,84.0,22.0,23.0,24.0,30,170
CAP019,DC009,2026-01-01,28.0,22.0,6.0,78.6,30.0,31.0,33.0,42,240
CAP020,DC009,2026-02-01,28.0,23.0,5.0,82.1,30.0,31.0,33.0,42,248
CAP021,DC009,2026-03-01,28.0,23.8,4.2,85.0,30.0,31.0,33.0,44,255
CAP022,DC011,2026-01-01,44.0,30.0,14.0,68.2,46.0,48.0,50.0,80,520
CAP023,DC011,2026-02-01,44.0,32.5,11.5,73.9,46.0,48.0,50.0,80,540
CAP024,DC011,2026-03-01,44.0,34.0,10.0,77.3,46.0,48.0,50.0,82,555
